"arrive","aankomen"
"carry","dragen"
"container","flesje / potje"
"customs","douane"
"imagine","zich voorstellen"
"impossible","onmogelijk"
"invite","uitnodigen"
"decide","beslissen"
"journey","reis"
"knife","mes"
"liquid","vloeistof"
"look after","zorgen voor"
"luggage / baggage","bagage"
"next","volgende"
"next to","naast"
"on time","op tijd"
"pair of scissors","schaar"
"suitcase","koffer"
"terminal","vertrekhal"
"security","beveiliging"
"announcement","bericht / aankondiging"
"billion","miljard"
"board","instappen"
"cancel","annuleren / afzeggen"
"challenge","uitdaging"
"check-in desk","incheckbalie"
"closed","dicht / gesloten"
"engine","motor"
"enter","binnengaan"
"ghost","geest / spook"
"legend","legende"
"passenger","passagier"
"platform","perron"
"railway","spoorweg"
"share","delen"
"space","ruimte"
"staff","personeel"
"Underground / Tube","ondergrondse / metro"
"blush","blozen"
"happen","gebeuren"
"horrible / terrible","verschrikkelijk"
"huge","heel groot / enorm"
"interest","interesse / hobby"
"lose","verliezen / kwijtraken"
"move","verhuizen"
"nightmare","nachtmerrie"
"remember","onthouden"
"shout","schreeuwen / hard roepen"
"test","toets / proefwerk"
"theme park","themapark / pretpark"
"try","proberen"
"dinner","avondeten"
"sure","zeker"
"tonight","vanavond"
"top","truitje"
"usually","gewoon / gewoonlijk"
