"covered","bedekt"
"afterwards","naderhand / erna"
"bone","bot"
"cab","taxi"
"collection","verzameling"
"crowded","druk"
"definitely / absolutely","beslist / zeker weten"
"fossil","fossiel"
"joke","grap"
"list","lijst"
"lovely / beautiful","mooi"
"noisy","lawaaiig"
"plenty","veel"
"polar bear","ijsbeer"
"powerful","sterk"
"scary","eng / angstaanjagend"
"skyscraper","wolkenkrabber"
"take a shower","douchen"
"teeth","tanden"
"wide","breed"
"wrinkly","rimpelig"
"attraction","bezienswaardigheid"
"celebrity","beroemdheid"
"chain","ketting"
"character","personage"
"doorstep","drempel"
"experience","ervaring"
"impressive","indrukwekkend"
"independence","onafhankelijkheid"
"law","wet"
"progress","vooruitgang"
"represent","staan voor / betekenen"
"science","wetenschap"
"sign","bord"
"site","locatie / plek"
"Statue of Liberty","Vrijheidsbeeld"
"torch","fakkel"
"tour guide","gids"
"attack","aanval / aanslag"
"bathtub","badkuip"
"chocolate bar","chocoladereep"
"gumball","kauwgombal"
"local","plaatselijk"
"lover","liefhebber"
"neighborhood / neighbourhood","buurt"
"offer","bieden / aanbieden"
"owner","eigenaar"
"regret","spijt krijgen / spijt hebben"
"selection","keuze / assortiment"
"view","uitzicht"
"art","kunst"
"cafeteria","kantine"
"chemistry","scheikunde"
"clever","slim"
"drawing","tekenen"
"fair","licht"
"strict","streng"
