"admission","toegangsprijs"
"annual","jaarlijks"
"barrel","vat / ton"
"beat","verslaan"
"cereal","ontbijtgranen"
"control","bedieningsknop"
"cooker / stove","fornuis / kookplaat"
"courage","moed"
"cruel","wreed"
"fight","gevecht"
"flour","bloem"
"grab","vastpakken / grijpen"
"groceries","boodschappen"
"grocery store","kruidenierswinkel"
"rope","met lasso vangen"
"saddle","zadel"
"switch on","aanzetten / inschakelen"
"tie","vastbinden"
"window","raam"
"wrestle","worstelen"
"approach","benaderen / dichtbij komen"
"bump into","botsen met / tegenkomen"
"conversation","gesprek"
"counter-clockwise","tegen de klok in"
"gentle","rustig / zachtaardig"
"get lost","verdwalen"
"light","aansteken"
"loop","lus"
"perform","uitvoeren"
"polite","beleefd"
"rectangular","rechthoekig"
"reins","teugels"
"right of way","voorrang"
"rope","touw"
"safety","veiligheid"
"slip","uitglijden"
"spill","morsen"
"argue","ruziemaken"
"background","achtergrond"
"cheat","spieken / valsspelen"
"court","speelveld"
"cycling shorts","wielrenbroek"
"gymnastics","gymnastiek"
"height","hoogte / lengte"
"lift","optillen / tillen"
"lose your temper","boos worden"
"opponent","tegenstander"
"property","bezit / eigendom"
"referee","scheidsrechter"
"scar","litteken"
"tiny","heel klein"
"trip","struikelen"
"turn","beurt"
"weight-lifting","gewichtheffen"
"wrestler","worstelaar"
"youngster","jongere"
"annoying","irritant"
"board game","bordspel"
"comedy","komedie"
"due","verwachte aankomsttijd"
"hilarious","hilarisch / heel grappig"
"play cards","kaarten"
"post","op internet plaatsen"
"ridiculous","belachelijk"
"treasure hunt","speurtocht"
