"almond","amandel"
"cable car","tram"
"cone","hoorntje / ijshoorntje"
"entree / main dish","hoofdgerecht"
"escape","ontsnapping"
"flavour","smaak"
"lime juice","limoensap"
"of course","natuurlijk"
"pepper","paprika"
"population","bevolking"
"prison","gevangenis"
"scoop","bolletje / ijsbolletje"
"shrimp","garnaal"
"single","enkeltje / enkele reis"
"sparkling","met bubbels"
"starter","voorgerecht"
"stew","stoven / smoren"
"stuffed","gevuld"
"suspension bridge","hangbrug"
"zucchini","courgette"
"bar","reep"
"brand","merk"
"crunchy","knapperig"
"fix","vastmaken"
"grated","geraspt"
"have a sweet tooth","een zoetekauw zijn"
"introduce","introduceren / lanceren"
"jelly bean","soort snoepje"
"leaflet","brochure / folder"
"measure","meten / opmeten"
"sample","snoepje om van te proeven"
"sour cream","zure room / crème fraiche"
"special offer","speciale aanbieding"
"tower","toren"
"underneath","onder"
"baked beans","witte bonen in tomatensaus"
"dairy product","zuivelproduct"
"diet","dieet / eetpatroon"
"grape","druif"
"keep a diary","een dagboek bijhouden"
"lamb chop","lamskotelet"
"pretty good","best wel goed"
"scrambled eggs","roereieren"
"smoked salmon","gerookte zalm"
"tuna","tonijn"
"varied","gevarieerd"
"wonder","zich afvragen"
"certainly","zeker"
"fridge / refrigerator","koelkast"
"side","bijgerecht"
"still","plat / zonder bubbels"
"white coffee","koffie met melk"
