"medal","medaille"
"disciplined","gedisciplineerd"
"achieve","bereiken"
"achievement","prestatie"
"athlete","sporter"
"charity","goed doel / liefdadigheid"
"chase","achtervolgen"
"community","gemeenschap"
"compete","de strijd aangaan"
"continue","doorgaan"
"diver","duiker"
"environment","milieu"
"invent","uitvinden"
"laboratory","laboratorium"
"nationwide","landelijk"
"office","kantoor"
"professional","beroeps"
"promise","beloven"
"record company","platenmaatschappij"
"scientist","wetenschapper"
"talented","getalenteerd"
"acting class","acteerles"
"advanced","gevorderd"
"choir","koor"
"college","universiteit / hogeschool"
"currently","op dit moment"
"fee","inschrijfgeld"
"firefighter","brandweerman"
"grade","cijfer"
"guess","denken"
"high school","middelbare school"
"near-accident","bijna-ongeluk"
"photographer","fotograaf"
"raise money","geld inzamelen"
"scare","paniek"
"scenery","décor"
"shaken / upset","overstuur / verontrust"
"shower","regenbui"
"spare time","vrije tijd"
"starring","met in de hoofdrol"
"above all","vooral / especially"
"charm","charme"
"criticism","kritiek"
"details","gegevens"
"dragon","draak"
"enter","meedoen"
"excite","opwinden"
"flee","ontvluchten"
"frightening","beangstigend"
"gorgeous","betoverend mooi"
"major","belangrijk"
"move","ontroeren / raken"
"nominate","nomineren / voordragen"
"novel","roman"
"publish","publiceren / uitgeven"
"servant","knecht / dienaar"
"show off","laten zien"
"apply for","aanvragen / aanmelden voor"
"current affairs","actualiteiten"
"instead","in plaats daarvan"
"matter","ertoe doen"
"politics","politiek"
"register","inschrijven"
"registration form","inschrijfformulier"
"upset","van streek zijn / overstuur zijn"
