"lente","spring"
"accepteren / aannemen","accept"
"worden","become"
"kok","chef"
"contact opnemen","contact"
"ontwerpen","design"
"ontdekken","discover"
"verschrikkelijk / vies","horrible"
"opmerken","notice"
"mensen","people"
"blij / tevreden","pleased"
"oefenen","practise"
"hardloper","runner"
"verkopen","sell"
"verschrikkelijk","terrible"
"nuttig","useful"
"manier","way"
"geweldig / prachtig","wonderful"
"acteur","actor"
"bewolkt","cloudy"
"afronden","finish"
"opgroeien","grow up"
"uit het hoofd leren","learn by heart"
"literatuur","literature"
"misschien","maybe"
"geheugen","memory"
"erg vinden","mind"
"muziek","music"
"vliegtuig","plane"
"basisschool","primary school"
"zich herinneren / onthouden","remember"
"slim","smart"
"studeren / leren","study"
"opstijgen","take off"
"theorie","theory"
"bekend","well-known"
"adres","address"
"bijsluiten","attach"
"kans","chance"
"wedstrijd / competitie","competition"
"slecht / boosaardig","evil"
"beroemd","famous"
"mode","fashion"
"ergens achter komen / achter komen","find out"
"formulier","form"
"koning","king"
"aanbieden","offer"
"huisdier","pet"
"veel / volop","plenty of"
"bewijzen","prove"
"geslaagd / succesvol","successful"
"tv / televisie","television / TV / telly"
"schrijver","writer"
"klikken op","click on"
"cursus / opleiding","course"
"toekomst","future"
"moeten","need to"
"opslaan / bewaren","save"
"verlegen","shy"
"sportdag","sports day"
"zorgen maken","worry"
