"affect","beïnvloeden"
"annoyed","geïrriteerd"
"appropriately","zoals het hoort / gepast"
"attraction","aantrekkingskracht"
"bargain","koopje / onderhandelen / afdingen"
"benefit","voordeel / voordeel hebben van"
"booked up","vol / volgeboekt"
"closet (AmE)","kleerkast / ingebouwde kast"
"community centre","buurthuis"
"consider","beschouwen"
"craze","rage / modegril"
"crush","grote liefde"
"custom-built","op maat gemaakt"
"decade","decennium / periode van tien jaar"
"desperate","wanhopig"
"dye","verfstof"
"exterminate","uitroeien"
"fabric","stof / weefsel"
"fad","rage / modegril"
"fashionable","modieus"
"fed up with","genoeg van hebben / zat zijn"
"fierce","hevig / fel"
"flock","in grote aantallen komen"
"fraction","fractie / klein deel"
"genuine","echt"
"high-end","chic / duur"
"knick-knack","prulding / snuisterij"
"lad","jongen"
"lass","meisje"
"last","meegaan"
"memorable","gedenkwaardig"
"must-have","hebbedingetje"
"occasion","gelegenheid"
"outfit","kleding"
"pastime","tijdsverdrijf / hobby"
"peers","leeftijdsgenoten"
"purchase","kopen"
"resident","inwoner"
"revealing","bloot / die veel laat zien"
"revenge","wraak"
"sheepskin","schapenvacht"
"silliness","dwaasheid"
"smash","stuksmijten / smijten / kapotgooien"
"stock","op voorraad hebben"
"storey","verdieping"
"submit","versturen / inzenden"
"tank top","mouwloos T-shirt"
"urban","stedelijk"
"vocabulary","woordenschat"
