"access to","toegang tot"
"attach","vastmaken"
"attendant","bediende / knecht"
"booming","bloeiend"
"civilization","beschaving"
"collar","kraag"
"common","gemeenschappelijk / gedeeld"
"conditions","omstandigheden"
"cuisine","keuken"
"date back","stammen uit"
"deposit","aanbetaling"
"display","tonen"
"emperor","keizer"
"exploit","uitbuiten / misbruik maken"
"eye-opener","openbaring"
"feel pity for","medelijden hebben met"
"flood","onder water zetten"
"fund","financieren"
"guide book","gids / reisgids"
"heritage","erfgoed"
"ignorant","onwetend"
"illiteracy","analfabetisme"
"in memory of","ter nagedachtenis aan"
"inadequate","ontoereikend / ongeschikt"
"interfere with","belemmeren"
"iron","strijken"
"maintain","onderhouden"
"modest","bescheiden"
"operate","bedienen"
"penetrate","doordringen / binnendringen"
"pillow cover","kussensloop"
"poverty","armoede"
"preserve","beschermen / bewaren"
"prior to","voorafgaand aan"
"recognize","erkennen"
"refundable","kan worden terugbetaald"
"remarkable","opvallend"
"roam","rondzwerven / dwalen"
"sculpture","beeldhouwwerk"
"sew","naaien"
"shawl","omslagdoek"
"simply","gewoon"
"skip","overslaan"
"slum","sloppenwijk / krottenwijk"
"species","soort"
"spice","kruid"
"stir","roeren"
"struggle with","worstelen met"
"survive","overleven"
"threaten","bedreigen"
"trade","verhandelen"
"vast","enorm / enorm groot"
"wipe","wrijven"
"wrap around","winden om"
