"attitude","houding / attitude"
"binoculars","verrekijker"
"bush","wildernis / struikgewas"
"captivity","gevangenschap"
"caution","voorzichtigheid"
"cheetah","jachtluipaard"
"clockwise","met de klok mee"
"close-knit","hecht"
"confiscate","in beslag nemen"
"cub","jong"
"deer","hert"
"dense","ondoordringbaar / dicht"
"disguise","verbergen / maskeren"
"distinguish","onderscheiden"
"edge","rand"
"embrace","omhelzing"
"endangered species","bedreigde diersoort"
"entrance fee","toegangsprijs"
"escort","begeleiden"
"exhilarating","spannend"
"face an obstacle","een hindernis overwinnen"
"ferocious","woest"
"gain independence","onafhankelijkheid krijgen"
"game","jachtdieren"
"herd","kudde"
"hippo","nijlpaard"
"home range","territorium"
"inaccessible","ontoegankelijk"
"juvenile","jongere"
"lodge","huisje"
"mass","zich verzamelen"
"massive","enorm groot"
"migration / trek","migratie / trek / tocht"
"orphan","wees"
"plain","vlakte"
"plunge","zich storten"
"poacher","stroper"
"predator","roofdier"
"prey","prooi"
"raging","woest"
"refuge","asiel / toevluchtsoord"
"release","vrijlaten"
"remain","blijven"
"reserve","reservaat"
"retreat","zich terugtrekken"
"rhino","neushoorn"
"sacred","heilig"
"sanctuary","opvangcentrum"
"set apart","apart zetten"
"shade","schaduw"
"shelter","opvang / opvanghuis"
"spark the imagination","tot de verbeelding spreken"
"tease","plagen"
"unless","tenzij"
"unpredictable","onvoorspelbaar"
"vast","enorm / groot"
"vehicle","voertuig"
"vet","dierenarts"
"wander off","afdwalen"
"with caution","voorzichtig"
