"agency","bureau"
"anorexic","iemand met eetstoornis"
"attend","deelnemen aan"
"average","gewoontjes / gemiddeld"
"beloved","geliefd"
"betrayal","verraad"
"bother","lastigvallen"
"box office success","kaskraker"
"capture","gevangennemen"
"casual","vrijetijds / vrijetijds kleding"
"crew member","lid van een team"
"cruel","wreed"
"descend upon","teisteren"
"draw attention to","aandacht trekken"
"due to","vanwege"
"exhausted","uitgeput"
"extra","figurant"
"fictional","fictief"
"film review","beoordeling / recensie"
"gesture","gebaar"
"hazard","gevaar"
"head off to","ergens heen gaan"
"in the limelight","in de schijnwerpers"
"influential","invloedrijk"
"islander","eilandbewoner"
"issue","probleem / discussiepunt"
"key","belangrijk / sleutel"
"loft","zolder"
"martyr","martelaar"
"meanwhile","ondertussen"
"middle school","brugklas"
"occupation","bezetting"
"once-in-a-lifetime","eenmalig / uniek"
"ordeal","beproeving / zware tijd"
"plot","samenzweren / beramen"
"quest","zoektocht"
"range of","scala aan / verschillende"
"red carpet","rode loper"
"rehab","afkicken"
"relive","herbeleven"
"request","verzoeken / verzoeken om"
"resistance movement","verzetsbeweging"
"roller coaster ride","wilde rit"
"rule","heersen / heersen over"
"rush","zich haasten"
"scarred","getekend / met een litteken"
"seize","grijpen / pakken"
"serve as","dienen als"
"setting","achtergrond"
"spoil","bederven / laten mislukken"
"square","plein"
"superb","uitmuntend / voortreffelijk"
"suspicious","verdacht"
"the more, the better","hoe meer, hoe beter"
"tour","tournee"
"triumphant","triomfantelijk"
"trusted","vertrouwd"
"venue","locatie"
"wander around","rondzwerven"
"wardrobe","garderobe"
"withdraw","zich terugtrekken"
