"as well","net zo goed"
"assignment","opdracht"
"bombing","bombardement"
"buzz","kick"
"cheese grater","rasp"
"coincidence","toeval"
"command","bevel / instructie / commando"
"concerned","bezorgd"
"convert","verbouwen / veranderen"
"cope with","iets aankunnen"
"diverse","divers / gevarieerd"
"do up","opknappen"
"estate agent","makelaar"
"feat","prestatie / knappe prestatie"
"flat fee","een vaste bijdrage"
"gain","verkrijgen / verwerven"
"gherkin","augurk"
"impact","invloed / effect"
"landmark","historisch monument"
"leisure facility","ontspanningscentrum"
"mainland","vasteland / vasteland van"
"mass-produce","in grote aantallen produceren"
"mature","volwassen / rijp"
"nickname","bijnaam"
"obviously","blijkbaar"
"on the fly","spontaan / zonder nadenken"
"parchment","perkament"
"performer","artiest die optreedt"
"phone box","telefooncel"
"pickle","augurk"
"pilot's license (AmE) / pilot's license","vliegbrevet"
"plague","pest"
"radio set","radiotoestel"
"reconsider","heroverwegen"
"redevelop","opnieuw ontwikkelen"
"reinvent","opnieuw uitvinden"
"resources","middelen"
"run-down","vervallen"
"scheme","plan"
"settle","zich vestigen"
"shard","scherf"
"single-handed","in je eentje"
"supply","zorgen voor"
"swing","schommel"
"unlimited access","onbeperkt toegang"
"urban renewal project","stadsvernieuwingsproject"
"wheel","reuzenrad / rad"
"worthwhile","de moeite waard"
"year nine","derde klas middelbare school"
