"to acquire","krijgen"
"conception","opvatting / idee"
"consent","goedkeuring"
"to direct at","richten op"
"disability","handicap"
"to dispute","het oneens zijn met"
"to distinguish","onderscheid maken"
"elaborate","uitgebreid"
"event","sportonderdeel / nummer"
"to face","het hoofd bieden aan"
"freighter","vrachtschip"
"to implement","uitvoeren"
"to insist","erop aandringen / erop staan"
"to perceive","waarnemen / zien"
"proposal","(een formeel) voorstel / voorstel"
"to quote","citeren"
"rapturous","opgetogen"
"to resist","zich verzetten tegen"
"to stitch","naaien"
"to take up","beginnen aan / oppakken"
"tangled","in de war / in de knoop"
"valid","geldig"
"vessel","vaartuig"
"to affect","treffen"
"to aim","ernaar streven"
"to alternate","afwisselen"
"blister","blaar"
"charitable","liefdadigheids-"
"civilization","beschaving"
"to conduct","uitvoeren / verrichten"
"to counter","weerleggen / tegenspreken"
"cultivation","verbouwing"
"dedicated to","toegewijd aan"
"to depict","beschrijven"
"to derive from","afleiden uit"
"to deteriorate","verslechteren"
"empathy","inlevingsvermogen"
"famine","hongersnood"
"to focus on","richten op"
"funds","geldmiddelen"
"globalization","wereldwijde verspreiding"
"legitimate","redelijk"
"impoverished","verpauperd / arm"
"to intervene","tussenbeide komen"
"perception of","kijk op"
"phenomenon","verschijnsel"
"to resume","hervatten"
"to reveal","onthullen"
"stereotype","vooringenomen idee"
"suburban","in een voorstad / van een voorstad"
"to access","toegang krijgen tot"
"to anticipate","verwachten"
"appalled","ontsteld"
"aspiration","doel / verlangen"
"to aspire","ernaar streven"
"autograph","handtekening"
"bin","vuilnisbak"
"bunch","groep"
"confirmation","bevestiging"
"to consider","beschouwen als"
"controversial","omstreden"
"devoted","toegewijd"
"distinct","duidelijk"
"engaged","bezig"
"heir / heiress","erfgenaam / erfgename"
"outright","meteen"
"to pervert","bederven"
"to presume","aannemen"
"to pretend","doen alsof"
"to recall","zich herinneren"
"to reflect","weergeven"
"to resent","kwalijk nemen"
"to resolve","oplossen"
"to be startled","schrikken"
"tedious","saai"
"union","vakbond / bond"
"to acknowledge","erkennen"
"to censor","ongewenste delen schrappen / censureren"
"to consist of","bestaan uit"
"draft","eerste versie"
"to edit","bewerken / persklaar maken"
"to emerge","tevoorschijn komen"
"to explore","onderzoeken / verkennen"
"faith","vertrouwen"
"from scratch","helemaal opnieuw"
"gig","eenmalig muziekoptreden / eenmalig optreden"
"illegible","onleesbaar"
"inane","dom en inhoudloos"
"narrator","verteller (in een boek, film) / verteller"
"notable","opmerkelijk, opvallend"
"to outline","in grote lijnen weergeven"
"outline","samenvatting"
"to pace up and down","ijsberen / op en neer lopen"
"to be passionate about","dol zijn op"
"to pick on","afgeven op iemand / vitten op iemand"
"realm","gebied (van activiteit, belangstelling) / gebied"
"to spark","plotseling doen ontstaan"
"springboard","springplank"
"to stray","afdwalen"
"to be the support act for","in het voorprogramma staan van"
"vicious","zeer gemeen"
"attendance","aanwezigheid"
"spoiled brat","vervelend kind"
"to circulate","verspreiden"
"to claim","beweren"
"contagious","besmettelijke"
"to contradict","tegenspreken"
"curfew","avondklok"
"data","gegevens"
"to disapprove of","afkeuren"
"dissenter","andersdenkende"
"to found","oprichten"
"genuine","echt"
"gossip","roddel"
"to graduate","afstuderen"
"grumbling","gemopper"
"to highlight","benadrukken"
"to impose","opleggen"
"in italics","schuingedrukt"
"injustice","onrecht"
"originally","aanvankelijk"
"punctual","op tijd aanwezig"
"remorse","erge spijt"
"resolute","vastberaden"
"sophomore","tweedejaars student aan een Amerikaanse universiteit"
"tabloid","roddelblad"
"topic","onderwerp"
"verbal","mondeling"
