"afterlife","hiernamaals"
"ancient","zeer oud"
"artefact","kunstvoorwerp"
"carving","gravure"
"certified","bevoegd / gediplomeerd"
"to claim","opeisen / eisen"
"decade","decennium / periode van 10 jaar"
"decayed","vervallen"
"defeat","nederlaag"
"on display","tentoongesteld"
"to embark on","beginnen aan"
"endurance","uithoudingsvermogen"
"excavation","opgraving / uitgraving"
"life raft","reddingsvlot"
"marble","marmer / marmeren"
"passion","hartstocht / hevig verlangen"
"to preserve","bewaren"
"prodigy","wonderkind"
"pursuit","bezigheid"
"runner-up","tweede (in een race) / tweede"
"storage","opslag"
"stroller","wandelwagen (AE) / wandelwagen"
"to take refuge","schuilplaats zoeken"
"tracksuit","trainingspak"
"vibrant","levendig"
"victory","overwinning"
"armed with","bewapend met"
"blinds","rolgordijn"
"to be charged with","beschuldigd zijn van"
"clue","aanwijzing"
"crook","oplichter"
"defendant","verdachte"
"derelict","vervallen"
"dismayed","ontsteld / onthutst"
"to encounter","ondervinden / tegenkomen"
"heinous","gruwelijk"
"hostility","vijandelijkheid"
"imminent","dreigend"
"inclined","geneigd"
"inmate","gevangene"
"to interrogate","ondervragen"
"to pursue","achtervolgen"
"to put up with","verdragen"
"to register","inschrijven"
"resident","inwoner"
"sentence","vonnis"
"sinister","onheilspellend / onguur"
"solicitor","advocaat"
"suspect","verdachte"
"theft","diefstal"
"unqualified","onbevoegd"
"to accommodate","plaats hebben voor / onderdak bieden aan"
"to bank on","rekenen op"
"bash","feest / fuif"
"carving","snijwerk"
"to cater for / to cater to","bedienen / zich richten op"
"county","gewest (AE) / gewest"
"custom-made","op maat gemaakt / op bestelling gemaakt"
"disdainful","minachtend"
"episode","aflevering"
"to excel","uitblinken"
"exile","ballingschap"
"to feature","de hoofdrol spelen"
"flattery","gevlei"
"gathering","bijeenkomst"
"to haggle","kibbelen / afdingen"
"to herd","hoeden / samendrijven"
"lavish","overdadig"
"modesty","bescheidenheid"
"mortgage","hypotheek"
"outrageous","buitensporig"
"permanently","blijvend / voorgoed"
"to retail","te koop zijn"
"soiree","avondfeest"
"spokesman","woordvoerder"
"spree","korte periode van flink genieten"
"sundae","ijscoupe / sorbet"
"tub","vat"
"ungrateful","ondankbaar"
"to wear off","minder worden"
"whim","gril / bevlieging"
"to wrap","inpakken"
"to adapt","zich aanpassen"
"aspiring","ambitieus"
"to cease","ophouden"
"citizenship","burgerschap"
"constituency","kiesdistrict"
"deceased","overledene"
"to enable","in staat stellen"
"grumpy","knorrig"
"to maintain","onderhouden"
"mankind","mensheid"
"MP / Member of Parliament","parlementslid"
"passionate","hartstochtelijk"
"pitfall","valstrik / valkuil"
"posterity","nageslacht"
"scam","oplichterij"
"to spot","zien / ontdekken"
"temp","uitzendkracht"
"trade union","vakbond"
"abbreviation","afkorting"
"accurate","nauwkeurig"
"briefing","bijeenkomst voor informatie of instructies / briefing"
"to enhance","verbeteren / versterken"
"to ensure","verzekeren"
"extensive","uitgebreid"
"gesture","gebaar"
"harsh","streng"
"incoherent","onsamenhangend"
"increasingly","steeds meer"
"merely","slechts / alleen maar"
"moderate","matig"
"numerous","talrijk"
"outrageous","schandalig"
"to recruit","werven"
"regardless of","ongeacht"
"rumour","gerucht"
"severe","streng"
"similar","bijna dezelfde / ongeveer dezelfde"
"substantial","flink / aanzienlijk"
"sufficient","voldoende"
"thorough","grondig"
"trivial","onbelangrijk"
"virtually","vrijwel"
"walks of life","rangen en standen"
