"award","prijs"
"to certify","verklaren"
"to choke","stikken"
"collision","botsing"
"commitment","morele verplichting"
"customs","douane"
"deforestation","ontbossing"
"to enclose","insluiten"
"to ensure","verzekeren"
"to found","stichten"
"freight","vracht"
"to implement","uitvoeren"
"to ratify","een overeenkomst tekenen / ratificeren"
"regulation","voorschrift"
"renewed","hernieuwd"
"to run out of","niet meer heben"
"to submit","indienen"
"transparent","duidelijk"
"to account for","uitleggen / verklaren"
"adjective","bijvoeglijk naamwoord"
"adverb","bijwoord"
"to anticipate","verwachten"
"coherent","samenhangend"
"comprehension","begrip"
"distinction","onderscheid"
"exchange","uitwisseling"
"explicit","duidelijk"
"to grasp","begrijpen"
"to highlight","benadrukken"
"to imply","suggereren"
"incentive","prikkel"
"to judge","beoordelen"
"lecture","lezing / college"
"to narrate","vertellen"
"noun","zelfstandig naamwoord"
"pertinent to","betrekking hebbend op"
"plot","verhaal"
"proverb","spreekwoord"
"provided","mits / indien"
"pun","woordspeling"
"to recollect","zich herinneren"
"significance","belang / betekenis"
"verb","werkwoord"
"viewpoint","standpunt"
"agitated","geërgerd"
"allegedly","zogenaamd"
"to cherish","koesteren"
"to combat","tegengaan"
"to conduct","uitvoeren / organiseren"
"to crack down on","steviger aanpakken"
"to distort","verdraaien"
"distracted","afgeleid"
"emission","uitstoot (van gassen) / uitstoot"
"envy","afgunst"
"to evade","ontwijken"
"excessive","buitensporig"
"gender","geslacht"
"ghastly","vreselijk"
"global","over de hele wereld"
"minor","klein"
"obligation","plicht"
"pincers","een nijptang"
"to rule","bepalen"
"significant","aanzienlijk"
"snug","gezellig / knus"
"strain","belasting / spanning"
"string","serie"
"vital","zeer belangrijk"
"to wire up","bedradingen aanleggen"
"affluent","welvarend / rijk"
"appeal","aantrekkingskracht"
"apprehension","bang voorgevoel"
"to assert","voor zichzelf opkomen"
"bold","dapper"
"to collaborate","samenwerken"
"to comprehend","begrijpen"
"to comprise","bevatten"
"convenience","gemak"
"to decimate","enorm afnemen / enorm verminderen"
"Gross National Product / GNP","bruto nationaal product / bnp"
"hideous","ontzettend lelijk"
"inhalation","inademen"
"innovative","vernieuwend"
"letdown","teleurstelling"
"makeshift","geïmproviseerd"
"manufacturer","fabrikant"
"nuisance","last"
"preposterous","onzinnig"
"recession","teruggang"
"to relieve","verlichten"
"retailer","kleinhandelaar"
"to soil","vervuilen"
"to soothe","verzachten"
"sorrow","verdriet"
"to stock","opslaan"
"striking","opvallend"
"touchy","prikkelbaar / snel geraakt"
"trying","vermoeiend"
"Wicked! (BE slang) / Wicked!","Fantastisch!"
"on application","op aanvraag"
"to assess","beoordelen / vaststellen"
"awkward","onhandig"
"The bottom line is …","Waar het op neerkomt is ..."
"to browse through","doorbladeren"
"to deviate","afwijken"
"down-to-earth","praktisch en realistisch"
"featured","aangeprezen"
"flabbergasted","stomverbaasd"
"flaw","fout"
"to justify","rechtvaardigen"
"leisurely","ontspannen / kalm"
"pane","vensterruit / ruit"
"to purchase","kopen"
"to quote","citeren"
"sample","proefstuk"
"sensible","verstandig"
"to sync with","synchroniseren met"
"to tap","tikken"
