"aansluiten","plug"
"aarzelen","hesitate"
"achteruitgang","decline"
"afleiden","distract"
"afmattend","exhausting"
"bij elkaar kruipen","huddle together"
"doel op zich","end in itself"
"draagbaar","portable"
"eisen","demand"
"getuige zijn van","witness"
"grootschalig","large-scale"
"heg","hedge"
"in de belangstelling staand","high-profile"
"instorten","collapse"
"knuffel / omhelzing","hug"
"kraam","stand"
"lomp / onbeleefd","rude"
"nuchter","sober"
"omvang","extent"
"ongevaarlijk","harmless"
"onrecht","injustice"
"oorzaak en gevolg","cause and effect"
"overgeven","vomit"
"puber-","pubescent"
"rechtop","upright"
"rij mensen","queue"
"schadelijk","harmful"
"strompelen","stumble"
"tegen de tijd dat","by the time"
"thermosfles","flask"
"wc","loo"
"vechten tegen","battle"
"verantwoordelijk voor","in charge of"
"verscheidenheid aan","variety of"
"verwaarlozing","neglect"
"vluchteling","refugee"
"zeuren / klagen","whine"
"zich verzamelen","assemble"
"zich wringen","squeeze"
"zorgen voor","mind"
"aannemen","assume"
"aanstootgevend","offensive"
"aanvankelijk","initially"
"beoogd","intended"
"van de buitenkant","on the surface"
"censuur","censorship"
"daar komt nog bij","in addition"
"doofpot","cover-up"
"financieren","fund"
"geheel","entirely"
"gewenst","desired"
"handelaar","dealer"
"hedendaags","contemporary"
"in praktijk brengen","put into practice"
"inhoud","content"
"kijker","viewer"
"kort","brief"
"leeftijdgenoot","peer"
"minder belangrijk","minor"
"noch ... noch","neither … nor"
"ongeschikt","unsuitable"
"reglement / voorschrift","regulation"
"reusachtig","giant"
"spandoek / vlag","banner"
"tijdelijk","temporary"
"tiran","tyrant"
"uitgangspunt","starting-point"
"vergroten","enlarge"
"verklaring","statement"
"verwijderen","remove"
"voorzien / verwachten","foresee"
"aankoop","purchase"
"als gevolg daarvan","as a result of that"
"beeldhouwwerk","sculpture"
"bijdragen aan","contribute to"
"blijken te zijn","turn out to be"
"bovendien","moreover"
"bruikbaar / nuttig","useful"
"de broekriem aanhalen","tighten your belt"
"denkbeeldig","imaginary"
"dwars door","across"
"expositie","exhibition"
"feitelijk","factual"
"gedetailleerd","elaborate"
"geestig","witty"
"grens","border"
"hard","grim"
"heilig","sacred"
"helaas","unfortunately"
"hoe … hoe","the … the"
"in heel","throughout"
"in hoge mate","to a large extent"
"in staat stellen","enable"
"inderdaad","indeed"
"inschattingsfout","error of judgment"
"insgelijks","likewise"
"integendeel","on the contrary"
"keizer","emperor"
"komende","upcoming"
"kunstvoorwerp","artefact"
"kunstwerk","work of art"
"laster","libel"
"marmeren","marble"
"misverstand","misunderstanding"
"museumdirecteur","curator"
"ondanks","in spite of"
"onderwijsprogramma","curriculum"
"op schoolreis gaan","go on a class trip"
"overstijgen","transcend"
"rechtvaardigen","justify"
"reclame maken voor","advertise"
"kennis bijbrengen","educate"
"te werk gaan","go about"
"tekening","drawing"
"toegangsprijs","entrance fee"
"vakmanschap","craftsmanship"
"versterken","enhance"
"vertrouwen op","rely on"
"via","through"
"voorlopig","for the time being"
"voorzichtig","cautiously"
"vroeger … altijd","used to"
"zeldzaam","rare"
"zelfredzaamheid","self-help"
"zich richten op","focus on"
"aanspreken","appeal"
"bewerking","adaptation"
"bovenaan staan","top"
"chic","posh"
"draaiboek / script","screenplay"
"eenvoud","simplicity"
"exemplaar","copy"
"geslacht","gender"
"hernieuwde belangstelling","revival"
"in geen geval","by no means"
"intussen","meanwhile"
"je kop in het zand steken","turn a blind eye"
"kijkcijfers","ratings"
"Natuurlijk!","By all means!"
"nauwkeuring","accurate"
"onwaarschijnlijkheid","unlikelihood"
"oppervlak","surface"
"redacteur","editor"
"roman","novel"
"samenvatten","summarize"
"smal","narrow"
"terechtkomen","end up"
"trots","pride"
"trouwens","as a matter of fact"
"uitgeven","issue"
"uitsteken boven","stand out from"
"verschijning","release"
"vervulling","fulfilment"
"vooroordeel","prejudice"
"voorraad","stock"
"voorspellen","predict"
"wetenschappelijk medewerker","lecturer"
"zeer klein","tiny"
"zich distantiëren van","distance from"
"aanbeveling","recommendation"
"aanwijzing","clue"
"aflevering","episode"
"alles bij elkaar","all in all"
"begripvol","understanding"
"bescheidenheid","modesty"
"bijsluiten","enclose"
"eerlijk gezegd","frankly"
"functie","post"
"helder","vivid"
"in de steek laten","abandon"
"inbegrepen","included"
"jl. / jongstleden","last"
"katalysator","catalyst"
"klas","form"
"kwetsbaar","vulnerable"
"loon","wages"
"matig","moderate"
"medewerker","employee"
"ondankbaar","ungrateful"
"onderdak","accommodation"
"onregelmatig","irregular"
"onsamenhangend","incoherent"
"pijn en verdriet","distress"
"reiskostenvergoeding","travelling expenses"
"solliciteren naar","apply for"
"soms","at times"
"spreekvaardigheid","fluency"
"sterker nog","what's more"
"treuren","grieve"
"treuren over","mourn"
"uit elkaar vallen","disintegrate"
"uitslag / uitkomst","outcome"
"zich vasthouden aan","cling to"
"verder / bovendien","furthermore"
"vertellen","narrate"
"voldoende","adequate"
"vrijwel / zo goed als","virtually"
"vwo","school of pre-university education"
"waar het op neerkomt","the bottom line"
"wat betreft","with regard to"
