"apologist","iemand die iets verdedigt"
"autopsy","sectie / lijkschouwing"
"bland","mild / zacht"
"buggy","besmet / met veel bugs"
"buzz","geroezemoes"
"clutter","warboel / rommel"
"designate","aanwijzen / bestemmen"
"dissect","ontleden"
"endearing","innemend"
"flutter","geknipper"
"fraught with","vol van"
"grasp","begrijpen"
"grind to a halt","langzaam tot stoppen komen"
"humanoid","mensachtig"
"hypothesize","veronderstellingen maken"
"ineffable","onuitsprekelijk"
"interact","contact hebben / communiceren"
"masquerade","zich vermommen"
"pivot","draaien"
"pristine","ongerept"
"strive for","streven naar"
"studded with","bezaaid met"
"stumble","struikelen"
"ancestral","voorouderlijk"
"assault","aanval / plotselinge aanval"
"clamp down on","stevig aanpakken"
"conveyor belt","lopende band"
"damn","fel bekritiseren / veroordelen"
"dumpster","container / vuilniscontainer"
"forage","zoeken naar / zoeken naar vooral eten"
"manifest","zichtbaar / overduidelijk"
"perceive","waarnemen / zien"
"protein","eiwit"
"pry into","zijn neus steken in"
"reassess","heroverwegen"
"replenish","aanvullen"
"resolute","vastberaden / doortastend"
"rocket","snel stijgen"
"rule out","uitsluiten"
"scant","karig / schraal"
"standing","reputatie / status"
"sweeping","verstrekkend / ingrijpend"
"trivial","onbeduidend"
"unsettled","onzeker"
"adherent","aanhanger"
"affiliation","band / verwantschap"
"assimilate","opnemen"
"bemused","verbaasd"
"coherent","samenhangend"
"commodity","handelsartikel"
"in compliance with","overeenkomstig"
"disposal","verwijdering / opruiming"
"enact","in werking stellen"
"incite to","aanzetten tot"
"initiate","het initiatief nemen voor"
"landfill","stortplaats"
"multiple","divers / veelsoortig"
"outweigh","zwaarder wegen dan"
"pitfall","valkuil"
"pollutant","vervuiler"
"pressure","druk"
"public domain","voor iedereen beschikbaar"
"shred","versnipperen"
"sift through","uitpluizen / onderzoeken"
"trace","nagaan waar het vandaan komt"
"administration","regering"
"advent","komst"
"albeit","ofschoon / zij het"
"asteroid","klein hemellichaam"
"conserve","in stand houden"
"convert","verbouwen"
"dispel","verdrijven"
"extradite","uitleveren"
"fabrication","verzinsel"
"frigid","ijskoud / kil"
"frontier","grens"
"heartening","opbeurend / hartverwarmend"
"legacy","nalatenschap / erfenis"
"malfunction","haperen / niet goed werken"
"prodigious","enorm"
"range","variëren"
"shelve","op de plank zetten"
"spin-off","nevenresultaat / nuttig nevenresultaat"
"stationary","stilstaand"
"surface","aan de oppervlakte komen"
"telling","treffend"
"vantage point","gezichtspunt"
"venture","onderneming / waagstuk"
"alter","wijzigen / veranderen"
"atrocities","wreedheden"
"condition","aandoening"
"deluge","stortvloed"
"density","dichtheid"
"detergent","wasmiddel"
"discontent","ontevredenheid"
"dogged","vasthoudend / hardnekkig"
"embark on","beginnen aan / beginnen aan iets nieuws"
"encounter","geconfronteerd worden met"
"fend for","opkomen voor"
"immersion","onderdompeling"
"in a haphazard way","lukraak"
"inflict on somebody","iemand aandoen / iemand iets aandoen"
"pervasive","doordringend"
"pilot episode","proefaflevering"
"prescription drugs","medicijnen op recept"
"preservation","bewaren / het bewaren"
"resent","boos zijn over / iemand iets kwalijk nemen"
"retailer","winkelier"
"reversal","ommekeer"
"sizeable","behoorlijk groot"
"without further ado","zonder verder tijd te verspillen"
