"aanhanger","trailer"
"adembenemend","breathtaking"
"afleiden uit","deduce from"
"afslaan / afwijzen","reject"
"behaaglijk","snug"
"boos kijken","glare"
"brok","chunk"
"enig","sole"
"gehecht aan","attached to"
"gênant","embarrassing"
"inhalen","overtake"
"kapot","faulty"
"kladversie","draft"
"knipperen met / knipperen","blink"
"knopen","knot"
"minachtend","sneer"
"misschien wel / wellicht","arguably"
"nijptang","pincers"
"flink / omvangrijk","bulky"
"opgeleid worden","be trained"
"waakzaam / oplettend","alert"
"peuter","toddler"
"reageren op","respond to"
"rondhangen","loiter"
"steeksleutel","spanner / wrench"
"stof","material"
"stukje touw","piece of string"
"terrein van universiteit","campus"
"troosten","console"
"uitspraak","pronunciation"
"verzuimen","omit"
"voorbehoud","reservation"
"voorzichtig en wijs","prudent"
"aannemen","adopt"
"afvalbak","bin"
"afzondering (positief) / afzondering","solitude"
"bedelaar","beggar"
"beruchtheid","notoriety"
"betwisten","contest"
"biologisch","organic"
"champignon","mushroom"
"dubbele punt","colon"
"hectare","acre"
"houdbaarheidsdatum","sell-by date"
"huurwoning","council house"
"in een notendop","in a nutshell"
"achterstand inhalen / inhalen","catch up with"
"kieskeurig","fussy"
"onderbewustzijn","subconscious"
"onhandelbaar","unmanageable"
"opkomst","emergence"
"opstel","composition"
"redactioneel commentaar","editorial"
"lesrooster","timetable"
"schild / afscherming","shield"
"slagroom","whipped cream"
"snee brood / snee","slice"
"ophouden","cease"
"stuur (fiets) / stuur","handlebars"
"verbindingsstreepje","hyphen"
"verpakking","packaging"
"verspilling","wastage"
"verwerven / krijgen","gain"
"volkoren","wholemeal"
"wat betreft","when it comes to"
"zinloos / onzinnig","senseless"
"3,8 liter (AE), 4,5 liter (BE)","gallon"
"aansporen","urge"
"aanzienlijk","significant"
"afval / rotzooi","trash"
"bankrekeningnummer","bank account number"
"bedrijfs-","corporate"
"bestaand","existing"
"bevorderen / stimuleren","boost"
"bijdragen aan","contribute to"
"brievenbus","letter box / mailbox"
"burgerservicenummer","social security number"
"de lijst aanvoeren","head the list"
"diefstal","theft"
"doel","object"
"makkie","piece of cake"
"gemeld","reported"
"gratis / kosteloos","at no charge"
"Het is zijn schuld.","He's to be blamed"
"in overeenstemming met","in tune with"
"ongunstige invloed hebben op / invloed hebben op","affect"
"meeleven met","be empathetic to"
"meisjesnaam","maiden name"
"naar voren brengen","put forward"
"omspringen met","handle"
"onmisbaar","indispensable"
"oprichten","found"
"perron","platform"
"publiekelijk bekendmaken","expose"
"sterker nog","what's more"
"toename","rise"
"verblijfplaats","whereabouts"
"verder dan / buiten","beyond"
"verkeersdrempel","speed ramp"
"verlenen","provide"
"wachtwoord","password"
"weggooien","dump"
"zwendelpraktijk","scam"
"aangrenzend","adjacent"
"aardbol","globe"
"bekend zijn met","be acquainted with"
"bemand","crewed"
"beoogd","intended"
"buiten de gevarenzone","out of harm's way"
"dodelijk","lethal"
"doorbraak","breakthrough"
"dozijn","dozen"
"duidelijk worden","emerge"
"eigen aan / inherent aan","inherent in"
"gebruikelijk","conventional"
"gedurfd","bold"
"giftig","toxic"
"in dienst nemen","engage"
"kust- / voor de kust","offshore"
"marine-","naval"
"meevaller","windfall"
"mits / op voorwaarde dat","provided"
"onderzoek naar","inquiry into"
"onderzoek / verkenning","exploration"
"onheilspellend","ominous"
"onthulling","revelation"
"ontwerpen","devise"
"overblijven","remain"
"pendelbus","shuttle bus"
"prijskaartje","price tag"
"schatten","estimate"
"schuilplaats","shelter"
"tapbier","draught beer"
"toevallig","accidental"
"verkennen","explore"
"verlengd","prolonged"
"vervanger","substitute"
"verzamelen","collect"
"wereld (van belangstelling) / wereld","realm"
"zuinig","economical"
"bevrucht","fertilised"
"bewaren","store"
"bleek","pale"
"doubleren / een jaar overdoen","repeat a year"
"een van de twee","either"
"een gezin stichten","start a family"
"gieten (regen) / gieten","pour"
"griezelig","uncanny"
"in principe","basically"
"in verband staand met","associated with"
"karaktertrek","trait"
"kassa (supermarkt) / kassa","checkout"
"kritiek op","criticism of"
"levensduur","lifespan"
"miezeren / motregenen","drizzle"
"namelijk","namely"
"ongeneeslijk","incurable"
"ontwijken","dodge"
"onwaarschijnlijk","unlikely"
"op het punt staan om","be about to"
"operatie","surgery"
"oudere/ ouderen","elderly"
"plank / schap","shelf"
"scheur","tear"
"schiereiland","peninsula"
"wankelen / strompelen","stagger"
"suikerziekte","diabetes"
"tot en met","up to and including"
"verdraaien","distort"
"verkeerd uitpakken","turn out wrong"
"verklaren","declare"
"verplicht","compulsory"
"verstuiken","sprain"
"verwachting","expectancy"
"voorafgaand aan","prior to"
"voorlopig","for the time being"
"vrijwel / praktisch","virtually"
"zich richten op","cater for"
