"accountable","verantwoordelijk"
"all-embracing","allesomvattend"
"allowance","toelage"
"benevolent","vriendelijk / welwillend"
"bicker","kibbelen"
"confer","verlenen / toekennen"
"default","standaard"
"derogatory","beledigend en afkeurend"
"disdain","minachtig"
"disposition","aard / karakter"
"durable","duurzaam"
"enviable","benijdenswaardig"
"fringe","bijkomend / extra"
"hallmark","kenmerk"
"injunction","bevel"
"lapse","tijdelijke terugval"
"plaintiff","aanklager / eiser"
"presumption","vermoeden"
"privilege","voorrecht"
"status quo","bestaande situatie"
"transgress","overtreden"
"avaricious","hebzuchtig"
"blemish","smet / vlek"
"blunt","bot"
"cram","volproppen"
"cite","citeren / aanhalen"
"contemplate","overwegen om"
"contender","kandidaat"
"crooked","corrupt"
"curb","inperken / terugdringen"
"enrol","zich inschrijven"
"foremost","meest vooraanstaand"
"jeopardize","in gevaar brengen"
"lament","betreuren"
"outright","regelrecht"
"prevail","zegevieren / de overhand hebben"
"resentful","verbitterd / boos"
"seamless","naadloos / probleemloos"
"spawn","genereren / voortbrengen"
"stupify","verbijsteren / compleet verbazen"
"vet","controleren / controleren van een tekst"
"adversary","tegenstander"
"agile","lenig"
"alliance","verbond"
"clergy","geestelijken"
"conducive to","bevorderlijk voor"
"counterpart","ambtsgenoot / tegenhanger"
"dispute","geschil"
"draft","concept / kladversie"
"evoke","oproepen"
"extenuating","verzachtend"
"forge","ontwikkelen"
"glare","boos kijken"
"incite to","aanzetten tot"
"intriguing","boeiend / intrigerend"
"laudable","prijzenwaardig"
"leap","sprong"
"looting","plunderen"
"magnitude","grootte / omvang"
"mitigating","verzachtend"
"plagiarism","plagiaat"
"repressive","onderdrukkend"
"secular","wereldlijk / niet-kerkelijk"
"alteration","verandering"
"altruistic","onzelfzuchtig / niet-egoïstisch"
"buzz","opwinding"
"clamber","klauteren"
"compassionate","medelevend"
"cue","hint / signaal"
"feckless","zwak / ongeïnteresseerd"
"foster","aanmoedigen"
"have overdraft","rood staan"
"be imbued with","vervuld zijn van"
"indispensable","onmisbaar"
"lay off","ontslaan"
"muddle","in de war brengen"
"pampered","verwend"
"peril","gevaar"
"predecessor","voorganger"
"relief","hulp"
"retain","behouden"
"snappish","snauwerig"
"stabbing","steken / steken met een mes"
"substantiate","bevestigen / bewijzen"
"telling","treffend"
"torment","kwellen / pijnigen"
"uprising","opstand"
"articulate","duidelijk / duidelijk verwoord"
"audacious","gedurfd"
"beneficial","gunstig"
"chair","voorzitter zijn van / voorzitten"
"conclusive","eenduidig / beslissend"
"contemporary","tijdgenoot"
"disposable","wegwerp-"
"dissolve","ontbinden"
"endowment","gift"
"expedite","versnellen / bespoedigen"
"forgo","zich onthouden van / zich onthouden van iets leuks"
"fuel","aanwakkeren"
"incontrovertible","onweerlegbaar"
"indulge","zich uitleven"
"narrative","beschrijving / verhaal"
"ostensibly","ogenschijnlijk / kennelijk"
"pivotal","zeer belangrijk / centraal"
"preliminary","voorbereidend"
"proliferation","plotselinge toename"
"relinquish","afzien van / opgeven"
"sluggish","traag"
"stir up","aanzetten tot"
"submit","inleveren"
"unsustainable","onhoudbaar"
