"iemand aanspreken / aanspreken","address"
"afzeggen","call off"
"belemmering","barrier"
"bemanning","crew"
"beschrijven","define"
"fronsen","frown"
"genadeloos","merciless"
"grens","boundary"
"grijnzen","grin"
"het was een rib uit mijn lijf","it cost me an arm and a leg"
"ijdel","vain"
"knus","snug"
"kreunen","moan"
"middel / oplossing","remedy"
"mild","lenient"
"natuurschoon","scenery"
"oefening baart kunst","practice makes perfect"
"omkoping","bribery"
"onhandig","awkward"
"onwel","under the weather"
"opscheppen","boast"
"patat / friet","chips"
"prikkelbaar","touchy"
"verwaarloosbaar / heel klein","marginal"
"reglement","regulation"
"samenvatten","sum up"
"snikken","sob"
"uitjouwen","jeer"
"vaartuig / boot","vessel"
"vakbond","union"
"verachten","despise"
"zich verspreken","make a slip of the tongue"
"voormalig","former"
"voorrang hebben op","take precedence over"
"vrolijk","cheerful"
"zwaartekracht","gravity"
"afslaan","turn down"
"allochtoon","immigrant"
"bedrading","wiring"
"brochure","leaflet"
"broodje","roll"
"de gewone man","the man in the street"
"een ongeluk komt nooit alleen","misfortunes never come single"
"exemplaar","copy"
"garantie","guarantee"
"gillen","shriek"
"inleiding / voorwoord","preface"
"laten we er voor vandaag maar 'n punt achter zetten","let's call it a day"
"naar de stembus gaan","go to the polls"
"neerkrabbelen / snel opschrijven","scribble"
"het negeren van / negeren van","disregard of"
"nummer","issue"
"ongekend","unprecedented"
"op één hoop gooien","lump together"
"romanschrijver","novelist"
"rondkomen","make ends meet"
"schrift","notebook"
"spraakzaam","talkative"
"spreekvaardigheid","fluency"
"stofzuiger","vacuum cleaner"
"vaatwasser","dishwasher"
"valkuil","trap / trapping"
"van tevoren","beforehand"
"verbreden","broaden"
"verdacht","suspected"
"verzoek","plea"
"voor schut staan","be the laughing stock"
"waar het op neerkomt","the bottom-line is / the bottom line is"
"weigering","refusal"
"zoogdier","mammal"
"zwerfafval","litter"
"aanklacht indienen","bring charges against"
"aanzetten","switch"
"arbeidersklasse","working class"
"belachelijk","preposterous"
"benodigd","required"
"censureren","censor"
"dat is zacht uitgedrukt","that is putting it mildly"
"deelname","participation"
"eromheen praten","beat about the bush"
"gegevensbank","data bank"
"helemaal opnieuw beginnen","start from scratch"
"langs elkaar heen praten","talk at cross purposes"
"om maar niet te spreken van","not to mention"
"omslagpunt","tipping point"
"onverwachts","out of the blue"
"opsluiting","detention"
"opsporen","track down"
"paal","post"
"plek","spot"
"prooi","prey"
"rel","riot"
"relschopper","rioter"
"riem","belt"
"roofdier (ook figuurlijk) / roofdier","predator"
"springlevend","alive and kicking"
"strafmaatregel / sanctie","sanction"
"stroom","flow"
"struik","shrub"
"tegen de draad in gaan","go against the grain"
"telewerken","telecommuting"
"uitkomen (dromen) / uitkomen","come true"
"verhoogd","increased"
"verlichten","illuminate"
"vervolgen","prosecute"
"viezerik","pervert"
"voor onbepaalde tijd","indefinitely"
"voorstel","proposition"
"zowel … als / evenals","as well as"
"bekrompen","narrow-minded"
"beton","concrete"
"bewustzijn","consciousness"
"bezet","engaged"
"boete","fine"
"consequent","consistent"
"de tafel afruimen","clear the table"
"de tafel dekken","lay the table / set the table"
"Doe waar je voor staat.","Practise what you preach."
"eigenaar","proprietor"
"in het stopcontact steken","plug in"
"inlevingsvermogen","empathy"
"kist","chest"
"miezeren / motregenen","drizzle"
"oneven","odd"
"onterecht","falsely"
"onverdraagzaam","intolerant"
"oplichter","impostor"
"rente","interest"
"roekeloos","reckless"
"samenstellen","compile"
"slopen","tear down"
"slordige fout","slip-up"
"stage","internship"
"stagiair","intern"
"statiegeld","deposit"
"stellen / beweren","argue"
"stortvloed","torrent"
"timmerman","carpenter"
"versnellen","accelerate"
"verzoeken","request"
"vruchtbaar","fertile"
"vooroordeel","prejudice"
"zelfbeheersing","restraint"
"zeuren","nag"
"aanmeldingsformulier","entry form"
"aanvrager","applicant"
"afleiding","diversion"
"auteursrecht","copyright"
"baat hebben bij","profit from"
"behalve / naast","apart from"
"beoordeling / evaluatie","assessment"
"concurrent","competitor"
"enquêteren","survey"
"ervoor zorgen","take care"
"fitnessen","work out"
"fragment","excerpt"
"geconfronteerd worden met een probleem","be presented with a problem"
"genomineerd","short-listed"
"gespierd","muscular"
"gevoelig voor","susceptible to"
"geweldloosheid","non-violence"
"goedpraten","excuse"
"iemand doen geloven","lead somebody to believe"
"betekenen / inhouden","imply"
"inschrijving","registration"
"kwetsbaar voor","vulnerable to"
"legitiem / wettelijk toegestaan","legitimate"
"mogelijke","potential"
"ondermijnen","undermine"
"overbodig","redundant"
"overbrengen","transmit"
"overgewicht hebben","be overweight"
"per definitie","by definition"
"rechtvaardigen","justify"
"tot voor kort","until recently"
"tweede (in een wedstrijd) / tweede","runner-up"
"verschaffen","provide with"
"voldoen aan","live up to"
"zogenaamd","supposedly"
"zwaarder wegen dan","outweigh"
